district_name,vilname,schcd,schname,schmgt_desc,schmgt,schcat,rururb,schcat_desc,rururb,schtype,pincd,disthq,distcrc,estdyear,lowclass,highclass,ppsec_yn,ppstudent,ppteacher,workdays,schres_yn,resitype,schshi_yn,noinspect,visitscrc,visitsbrc,conti_r,conti_e,tlm_r,tlm_e,funds_e,funds_r,osrc_e,osrc_r,tchsan,tchpos,parapos,ntpos,medinstr1,medinstr2,medinstr3,medinstr4,supvar1,supvar2,supvar3,supvar4,supvar5,schmntcgrant_r,schmntcgrant_e,tle_r,tle_e,postaladdr,stdcode1,phone1,mobile1,stdcode2,phone2,mobile2,email,website,parasanct_ele,tchsanct_sec,tchposn_sec,parasanct_sec,paraposn_sec,tchsanct_hsec,tchposn_hsec,parasanct_hsec,paraposn_hsec,tchregu_upr,tchpara_upr,tchpart_upr,tchsanct_pr,parasanct_pr,ntsanct_sec,ntposn_sec,ntsanct_hsec,ntposn_hsec,anganwadi_yn,anganwadi_stu,anganwadi_tch,latdeg,latmin,latsec,londeg,lonmin,lonsec,approachbyroad,yearrecog,yearupgrd,cwsnsch_yn,visitsrtcwsn,distp,distu,dists,disth,meds1,meds2,meds3,meds4,medh1,medh2,medh3,medh4,boardsec,boardhsec,yearrecogs,yearrecogh,yearupgrds,yearupgrdh,schresupr_yn,schressec_yn,schreshsec_yn,cpp_b,cpp_g,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g,tch_m,tch_f,tch_t,tchpri,tchupr,tchsec,tchhsec,tchnr_clstaught,tchcwsntrnd,tchdisable,tchregu,tchcont,tchpart
MAMIT,MAMIT BAZAR VENG,15010100101, MAMIT GOVT. P/S-VII,Department of Education,1,1,2,Primary,Urban,3,796441,0,0,1998,1,4,1,17,1,0,2,5,2,1,10,2,5250,5250,2195,2195,0,0,0,0,0,3,3,0,25,98,98,98,,,,,,8058,8058,0,0,,,,8974964903,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1998,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,9,9,8,9,30,38,38,31,29,24,26,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,0,0,0,0,0,6,3,3,0
MAMIT,MAMIT VENGHLUN,15010100201,MAMIT GOVT. P/S-I,Department of Education,1,1,2,Primary,Urban,3,79644,0,0,1956,1,4,1,8,1,0,2,5,2,1,12,3,5250,5250,2195,2195,0,0,0,0,0,1,4,0,25,98,98,98,,,,,,8058,8058,0,0,,,,9863104115,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1960,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,9,9,3,4,26,31,30,32,33,36,31,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,0,0,0,0,0,5,1,4,0
MAMIT,MAMIT VENGHLUN,15010100202,MAMIT GOVT. P/S-III,Department of Education,1,1,2,Primary,Urban,3,796441,0,0,1974,1,4,1,14,1,0,2,5,2,0,12,2,5250,5250,2195,2195,0,0,0,0,0,1,3,0,25,98,98,98,,,,,,8058,8058,0,0,,,,9612938615,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1980,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,9,9,9,5,25,24,28,28,29,22,27,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,0,0,4,1,3,0
MAMIT,MAMIT VENGHLUN,15010100203,MAMIT GOVT. M/S-I,Department of Education,1,4,2,Upper Primary only,Urban,3,796441,0,0,1948,5,8,2,0,0,0,2,5,2,1,9,3,7544,7544,2195,2195,0,0,0,0,0,0,0,0,25,98,98,98,,,,,,8058,8058,0,0,,,,9612466951,,,,,,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1950,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,9,9,0,0,0,0,0,0,0,0,0,0,16,21,15,15,14,15,36,20,0,0,0,0,0,0,0,0,7,3,10,0,10,0,0,0,0,10,4,6,0
MAMIT,MAMIT VENGHLUN,15010100204,"PRESBYTERIAN ENGKISH MEDIUM SCHOOL, MAMIT VENGHLUN",Local body,3,2,2,Primary with Upper Primary,Urban,3,796441,0,0,2005,1,8,1,91,3,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,19,98,98,98,,,,,,0,0,0,0,,,,9862423218,,,,,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2005,2005,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,9,9,40,51,16,9,20,21,22,21,21,19,18,17,14,12,16,10,7,4,0,0,0,0,0,0,0,0,5,8,13,7,6,0,0,0,0,13,0,13,0
MAMIT,N.SABUAL,15010100301,N. SABUAL UPS,SSA                                                                        ,10,4,1,Upper Primary only,Rural,3,796441,10,10,2005,5,8,2,0,0,0,2,5,2,0,9,1,7544,7544,2195,2195,0,0,0,0,0,0,0,0,25,98,98,98,,,,,,8058,8058,0,0,,,,9863850273,,,,,,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2005,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,9,9,0,0,0,0,0,0,0,0,0,0,10,25,14,29,8,17,3,1,0,0,0,0,0,0,0,0,1,5,6,0,6,0,0,0,0,6,0,6,0
MAMIT,N.SABUAL,15010100304,N. SABUAL P/S,Department of Education,1,1,1,Primary,Rural,3,796441,10,10,1986,1,4,2,0,0,0,2,5,2,0,8,3,5250,5250,2195,2195,0,0,0,0,0,1,1,0,25,98,98,98,,,,,,8058,8058,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1990,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,9,9,0,0,21,23,28,25,23,22,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,1,1,0
MAMIT,SUARHLIAP,15010100403,SUARHLIAP M/S,Department of Education,1,4,1,Upper Primary only,Rural,3,796081,30,30,1986,5,8,2,0,0,0,2,5,2,1,10,5,7544,7544,2195,2195,0,0,0,0,0,0,0,0,25,98,98,98,,,,,,8058,8058,0,0,,,,9862076108,,,,,,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1990,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,9,9,0,0,0,0,0,0,0,0,0,0,21,40,25,40,24,40,25,27,0,0,0,0,0,0,0,0,6,2,8,0,8,0,0,0,0,8,3,5,0
MAMIT,SUARHLIAP,15010100404,SUARHLIAP P/S,Department of Education,1,1,1,Primary,Rural,3,796081,32,32,1935,1,4,2,0,0,0,2,5,2,1,8,3,5250,5250,2195,2195,0,0,0,0,0,1,3,0,25,98,98,98,,,,,,8058,8058,0,0,,,,,,,9612447707,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1950,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,9,9,0,0,23,30,21,22,27,22,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,4,0,0,0,0,0,4,1,3,0
MAMIT,SUARHLIAP,15010100405,SUARHLIAP RMSA SECONDARY SCHOOL,No Response,9,8,1,Secondary Only,Rural,0,796441,0,0,2012,9,10,9,0,0,0,9,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,98,98,,,,,,0,0,0,0,,,,9856285128,,,9862501848,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,24,8,10,92,31,8,1,,,2,0,0,0,0,0,19,98,98,98,98,98,98,98,2,0,2012,,,,9,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,0,0,0,4,2,6,0,0,6,0,0,0,6,0,6,0
