"code","Schname", "lat", "long", "Remarks"
"15010100101","MAMIT GOVT. P/S-VII","23.9235220548","92.4922657013","Completed"
"15010100201","MAMIT GOVT. P/S-I","23.9278150395","92.4904417992","Completed"
"15010100202","MAMIT GOVT. P/S-III","23.9312743311","92.4911767244","Completed"
"15010100203","MAMIT GOVT. M/S-I","23.9277733607","92.489964366","Completed"
"15010100204","PRESBYTERIAN ENGKISH MEDIUM SCHOOL, MAMIT VENGHLUN","23.9295385677","92.4892026186","Completed"
"15010100301","N. SABUAL UPS","23.9865442187","92.4890363216","Completed"
"15010100304","N. SABUAL P/S","23.9866593957","92.4889478087","Completed"
"15010100403","SUARHLIAP M/S","24.1350172094","92.5159871578","Completed"
"15010100404","SUARHLIAP P/S","24.1346084358","92.5161105394","Completed"
"15010100405","SUARHLIAP RMSA SECONDARY SCHOOL","24.141559857","92.5158074498","Completed"
"15010100501","BAWNGVA GOVT.  P/S","23.912758319","92.4268171191","Completed"
"15010100502","BAWNGVA UPS","23.9135772772","92.4263611436","Completed"
"15010100601","DARLAK GOVT. P/S","23.9023369917","92.4144119024","Completed"
"15010100602","DARLAK GOVT. M/S","23.9033816144","92.4197334051","Completed"
"15010100603","DARLAK LEILET P/S","23.9020868695","92.4184191227","Completed"
"15010100604","EMMANUEL ENGLISH SCHOOL, DARLAK","23.9028127129","92.4194464087","Completed"
"15010100606","DARLAK RMSA SECONDARY SCHOOL","23.8994850797","92.4193418026","Completed"
"15010100702","MAMIT GOVT. P/S-IV","23.8945584558","92.4975711107","Completed"
"15010100703","MAMIT GOVT. P/S-VI","23.9065056235","92.4924856424","Completed"
"15010100707","AGAPE GOVT. M/S-IV","23.8991442193","92.4964660406","Completed"
"15010100708","NALZAWL P/S","23.8669815929","92.4248617887","Completed"
"15010100709","NALZAWL UPS","23.8681515952","92.425776422","Completed"
"15010100710","NEW MAMIT UPS","23.8790196016","92.4994057417","Completed"
"15010100712","NEW MAMIT RMSA SECONDARY SCHOOL","23.8851313812","92.4978286028","Completed"
"15010100713","ST. FRANCIS OF ASSISI HIGH SCHOOL","23.9116573762","92.4906671047","Completed"
"15010100714","NEW DIAMOND SCHOOL","23.9121428711","92.494070828","Completed"
"15010100715","ST FRANCIS OF ASSISSI M/S MAMIT","23.9116156922","92.4906992912","Completed"
"15010100801","PHAIZAU GOVT. P/S","23.9260326468","92.5223869085","Completed"
"15010100802","PHAIZAU UPS","23.9259762571","92.5225800276","Completed"
"15010100901","K. SARALI P/S","23.9864878555","92.4256557226","Completed"
"15010100902","K. SARALI UPS","23.9862967103","92.4230539799","Completed"
"15010101001","KAWRTHAH GOVT. P/S-I","23.9970837147","92.3740822077","Completed"
"15010101002","KAWRTHAH GOVT. P/S-II","24.0005754523","92.3754930496","Completed"
"15010101003","KAWRTHAH GOVT. P/S-III","24.0055323317","92.3759678006","Completed"
"15010101004","KAWRTHAH GOVT. P/S-IV","23.9919353731","92.3737442493","Completed"
"15010101005","KAWRTHAH GOVT. M/S-I","24.0043366215","92.3765069246","Completed"
"15010101006","KAWRTHAH GOVT. M/S-II","23.9917466865","92.3736476898","Completed"
"15010101007","HALIDAY ENGLISH MEDIUM SCHOOL P/S, KAWRTHAH","24.0008596878","92.3749190569","Completed"
"15010101009","KAWRTHAH GOVT. HIGHER SECONDARY SCHOOL","23.9908890167","92.3731300235","Completed"
"15010101010","KAWRTHAH GOVT. HIGH SCHOOL","23.9915187919","92.3735806346","Completed"
"15010101011","KAWRTHAH HIGH SCHOOL II","24.0049883829","92.3761582375","Completed"
"15010101012","ST.IGNATIUS ENGLISH SCHOOL","24.006267394","92.3761421442","Completed"
"15010101013","PRESBYTERIAN ENGLICH SCHOOL KAWRTHAH","23.9980442583","92.3757612705","Completed"
"15010101101","RENGDIL GOVT. P/S-I","24.068693141","92.3872411251","Completed"
"15010101102","RENGDIL GOVT. P/S-II","24.0736792287","92.3903524876","Completed"
"15010101103","RENGDIL GOVT. M/S-I","24.072347012","92.3886680603","Completed"
"15010101104","RENGDIL GOVT. M/S-II","24.0682621144","92.3868656158","Completed"
"15010101105","STONE QUARRY P/S","24.0256911168","92.3774778843","Completed"
"15010101106","RENGDIL HIGH SCHOOL","24.0672531149","92.3872303963","Completed"
"15010101201","TUIDAM GOVT. P/S","23.9279842061","92.3692595959","Completed"
"15010101202","TUIDAM GOVT. P/S-II","23.9294110814","92.3708474636","Completed"
"15010101203","TUIDAM GOVT. M/S","23.9281705344","92.3690450191","Completed"
"15010101204","NEW EDEN P/S","23.9337700629","92.3130083084","Completed"
"15010101205","TUMPANGLUI P/S","23.9454243447","92.3128902912","Completed"
"15010101206","TUMPANGLUI UPS","23.9451056678","92.3126864433","Completed"
"15010101207","NEW EDEN UPS","23.935005653","92.3135662079","Completed"
"15010101215","LMS TUIDAM","23.9284941565","92.3684978485","Completed"
"15010101221","TUIDAM GOVT. HIGH SCHOOL","23.9272143735","92.3685514927","Completed"
"15010101301","KAWRTETHAWVENG GOVT. P/S-I","23.8686568759","92.373650372","Completed"
"15010101302","KAWRTETHAWVENG GOVT. P/S-II","23.872461135","92.375678122","Completed"
"15010101303","KAWRTETHAWVENG GOVT. P/S-III","23.8700672365","92.3737549782","Completed"
"15010101304","KAWRTETHAWVENG GOVT. M/S-I","23.8682546138","92.3736530542","Completed"
"15010101305","KAWRTETHAWVENG GOVT. M/S-II","23.8758115375","92.3733097315","Completed"
"15010101307","KAWRTETHAWVENG HIGH SCHOOL","23.8680681992","92.377512753","Completed"
"15010101601","THAIDAWR UPS","23.8048802807","92.2979772091","Completed"
"15010101701","W. BUNGHMUN GOVT. P/S","23.8018593459","92.3592281342","Completed"
"15010101702","BUNGHMUNN VENGTHLANG P/S","23.802907233","92.3614168167","Completed"
"15010101703","BUNGHMUN GOVT. M/S","23.8020777587","92.3592469096","Completed"
"15010101704","MUALTHUAM P/S","23.8456498877","92.3257112503","Completed"
"15010101705","MUALTHUAM UPS","23.8457676436","92.3257541656","Completed"
"15010101707","SOTAPA P/S","23.8429880842","92.2877725806","Completed"
"15010101708","SOTAPA UPS","23.8429880842","92.2877725806","Completed"
"15010101710","W. BUNGHMUN HIGH SCHOOL","23.8084189306","92.3627659678","Completed"
"15010101801","SERHMUN GOVT. P/S","23.7582356993","92.3578494787","Completed"
"15010101803","W. SERHMUN GOVT. P/S-II","23.754386357","92.3560845852","Completed"
"15010101804","TAITESENA MEMORIAL GOVT. M/S","23.7538364416","92.3564171791","Completed"
"15010101805","SERHMUN RMSA SECONDARY SCHOOL","23.7527783391","92.3564091325","Completed"
"15010101901","BAWRAI GOVT. P/S","24.1414619523","92.3355549574","Completed"
"15010101902","BAWRAI GOVT. M/S","24.1455347252","92.3392161727","Completed"
"15010101904","BORAI GOVT. HIGH SCHOOL","24.1455322776","92.3392000794","Completed"
"15010102001","ZAWLNUAM GOVT. P/S-III","24.1362337315","92.3349836469","Completed"
"15010102003","ZAWLNUAM GOVT. M/S-I","24.1373107233","92.3349192739","Completed"
"15010102006","BAPTIST ENGLISH P/S, ZAWLNUAM THUAMPUI","24.1389164033","92.3346617818","Completed"
"15010102007","BAPTIST ENGLISH M/S, ZAWLNUAM THUAMPUI","24.1387059037","92.3346336186","Completed"
"15010102101","ZAWLNUAM GOVT. P/S-I","24.1302219924","92.3356474936","Completed"
"15010102102","ZAWLNUAM GOVT. P/S-II","24.1334286148","92.334060967","Completed"
"15010102103","ZAWLNUAM GOVT. M/S-II","24.1280042356","92.3342674971","Completed"
"15010102104","ZAWLNUAM PUBLIC M/S","24.1332572706","92.3299410939","Completed"
"15010102105","ZAWLNUAM PUBLIC P/S","24.1332572706","92.3299410939","Completed"
"15010102106","ZAWLNUAM VENGTHLANG GOVT. P/S","24.1259969611","92.3333247006","Completed"
"15010102108","K.R. HIGH SCHOOL ZAWLNUAM ","24.1334653314","92.33209759","Completed"
"15010102109","ZAWLNUAM HIGHER SECONDARY SCHOOL","24.1378590065","92.3367458582","Completed"
"15010102201","ZAWLPUI GOVT. P/S","24.12368","92.336044","Completed"
"15010102202","ZAWLPUI GOVT. M/S","24.123221","92.335932","Completed"
"15010102401","BUNGTHUAM GOVT. P/S","24.186862109","92.3315048218","Completed"
"15010102402","BUNGTHUAM GOVT. M/S","24.186862109","92.3315048218","Completed"
"15010102403","BUNGTHUAM GOVT. HIGH SCHOOL","24.1848533124","92.3301610351","Completed"
"15010102501","KANHMUN GOVT. P/S-I","23.7243630328","92.7193308677","Completed"
"15010102502","KANHMUN GOVT. P/S-II","24.2392655891","92.2961640358","Completed"
"15010102503","KANHMUN GOVT. M/S","24.2387201873","92.2961962223","Completed"
"15010102505","KANHMUN GOVERNMENT HIGH SCHOOL","24.2390968328","92.2962364554","Completed"
"15010102506","ST. FRANCIS XAVIER HIGH SCHOOL KANHMUN","24.2413224421","92.302005887","Completed"
"15010102601","LUIMAWI GOVT. P/S","24.2199329707","92.3120507598","Completed"
"15010102602","LUIMAWI UPS","24.2271170053","92.3212869465","Completed"
"15010102603","LUIMAWI VAIVENG P/S","24.2275890778","92.3212319613","Completed"
"15010102701","THINGHLUN GOVT. P/S","24.2474341076","92.3791891336","Completed"
"15010102702","THINGHLUN GOVT. M/S","24.2473949782","92.3792427778","Completed"
"15010102704","THINGHLUN HIGH SCHOOL","24.2502122626","92.3782503605","Completed"
"15010102705","BAZIRUNG P/S","24.2386688265","92.3790067434","Completed"
"15010102801","CHUHVEL GOVT. P/S","24.1240777815","92.4699497223","Completed"
"15010102802","CHUHVEL GOVT. M/S","24.1241463241","92.4696439505","Completed"
"15010102803","CHUHVEL LEILET P/S","24.1154607018","92.4770951271","Completed"
"15010102901","HRIPHAW GOVT. P/S-I","24.1974463054","92.4195858836","Completed"
"15010102902","HRIPHAW GOVT. M/S","24.2028873071","92.4205112457","Completed"
"15010102903","HRIPHAW P/S II","24.1923965348","92.41784513","Completed"
"15010102904","HRIPHAW HIGH SCHOOL","24.2028970929","92.420527339","Completed"
"15010103001","KANANTHAR P/S","24.1033958155","92.4612486362","Completed"
"15010103002","KANANTHAR UPS","24.1036994102","92.4609160423","Completed"
"15010103101","SAIKHAWTHLIR GOVT. P/S","24.1479235027","92.4851042032","Completed"
"15010103102","R.M. SAIKHAWTHLIR GOVT. M/S","24.1482514667","92.4854636192","Completed"
"15010103103","SAIKHAWTHLIR  LEILET P/S","24.1484472656","92.4942612648","Completed"
"15010103201","ZAMUANG GOVT. P/S-I","24.0969516037","92.3979485035","Completed"
"15010103202","ZAMUANG GOVT. P/S-II","24.1053153052","92.3969078064","Completed"
"15010103203","ZAMUANG GOVT. M/S","24.0993314947","92.3975729942","Completed"
"15010103204","PRESBYTERIAN ENGLISH SCHOOL P/S, ZAMUANG","24.1004087971","92.3982596397","Completed"
"15010103207","ZAMUANG GOVT.  HIGH SCHOOL","24.0990278897","92.3976051807","Completed"
"15010103208","ST IGNATIUS ENGLISH SCHOOL ZAMUANG","24.1015301619","92.397197485","Completed"
"15010103301","MAMIT GOVT. P/S-V","23.9429190326","92.4900341034","Completed"
"15010103302","MAMIT GOVT. M/S-III","23.9432769373","92.4913966656","Completed"
"15010103303","VAWNGAWNZO UPS","24.0416532205","92.5070661306","Completed"
"15010103305","VAWNGAWNZO P/S","24.0422460044","92.5082623959","Completed"
"15010103306","CHILUI UPS","23.9974708734","92.4724602699","Completed"
"15010103307","TLANGKHANG GOVT. P/S","24.0452833669","92.5551393628","Completed"
"15010103308","CHILUI P/S","23.9975002778","92.4723878503","Completed"
"15010103309","DAMDIAI UPS","24.0845421551","92.5076535344","Completed"
"15010103310","DAMDIAI P/S","24.0849878191","92.5071385503","Completed"
"15010103311","MAMIT HIGH SCHOOL-II","23.9331694246","92.4893662333","Completed"
"15010103801","HMUNTHATLANG P/S","24.0791352951","92.3896980286","Completed"
"15010103802","HMUNTHATLANG UPS","24.0790079568","92.3897194862","Completed"
"15010104301","MAMIT GOVT. P/S II","23.9196678088","92.4919492006","Completed"
"15010104302","MAMIT GOVT. M/S II","23.9181378471","92.4912518263","Completed"
"15010104303","HMUNSAM PUBLIC P/S","23.9237329072","92.490913868","Completed"
"15010104304","HMUNSAM PUBLIC UPS","23.9237329072","92.490913868","Completed"
"15010104305","MAMIT GOVT. HIGHER SECONDARY SCHOOL","23.9194814682","92.4922174215","Completed"
