ac_year,state_name,district_code,district_name,vilcd,vilname,schcd,schname,habname,blkname,schmgt_desc,schcat_desc,rururb,lat,long
2015-16,Mizoram                       ,1501,MAMIT,150101001,MAMIT BAZAR VENG,15010100101, GOVT. MAMIT P/S-VII,MAMIT BAZAR VENG,"SDEO, MAMIT",Department of Education,Primary,Urban,23.923605,92.492173
2015-16,Mizoram                       ,1501,MAMIT,150101001,MAMIT BAZAR VENG,15010100102,ST FRANCIS OF ASSISI P/S MAMIT,MAMIT BAZAR VENG,"SDEO, MAMIT",Church                                                                     ,Primary,Urban,23.925848,92.492912
2015-16,Mizoram                       ,1501,MAMIT,150101002,MAMIT VENGHLUN,15010100201,GOVT. MAMIT P/S-I,MAMIT VENGHLUN,"SDEO, MAMIT",Department of Education,Primary,Urban,23.927889,92.490373
2015-16,Mizoram                       ,1501,MAMIT,150101002,MAMIT VENGHLUN,15010100203,GOVT. MAMIT M/S-I,MAMIT VENGHLUN,"SDEO, MAMIT",Department of Education,Upper Primary only,Urban,23.927772,92.489942
2015-16,Mizoram                       ,1501,MAMIT,150101002,MAMIT VENGHLUN,15010100204,"PRESBYTERIAN ENGLISH MEDIUM SCHOOL, MAMIT VENGHLUN",MAMIT VENGHLUN,"SDEO, MAMIT",Church                                                                     ,Primary with Upper Primary,Urban,23.929513,92.489291
2015-16,Mizoram                       ,1501,MAMIT,150101002,MAMIT VENGHLUN,15010100206,PRESBYTERIAN ENGLISH MEDIUM SCHOOL,MAMIT VENGHLUN,"DEO, MAMIT",Church                                                                     ,Secondary Only,Urban,23.929513,92.489291
2015-16,Mizoram                       ,1501,MAMIT,150101003,N.SABUAL,15010100301,N. SABUAL UPS (SSA),N.SABUAL,"SDEO, MAMIT",SSA                                                                        ,Upper Primary only,Rural,23.986678,92.489039
2015-16,Mizoram                       ,1501,MAMIT,150101003,N.SABUAL,15010100304,GOVT. N. SABUAL P/S,N.SABUAL,"SDEO, MAMIT",Department of Education,Primary,Rural,23.98671,92.489008
2015-16,Mizoram                       ,1501,MAMIT,150101004,SUARHLIAP,15010100403,GOVT. SUARHLIAP M/S,SUARHLIAP,"SDEO, MAMIT",Department of Education,Upper Primary only,Rural,24.134934,92.515999
2015-16,Mizoram                       ,1501,MAMIT,150101004,SUARHLIAP,15010100404,GOVT. SUARHLIAP P/S,SUARHLIAP,"SDEO, MAMIT",Department of Education,Primary,Rural,24.134602,92.51606
2015-16,Mizoram                       ,1501,MAMIT,150101004,SUARHLIAP,15010100405,SUARHLIAP RMSA SECONDARY SCHOOL,SUARHLIAP,"DEO, MAMIT",RMSA                                                                       ,Secondary Only,Urban,24.141559,92.515807
2015-16,Mizoram                       ,1501,MAMIT,150101005,BAWNGVA,15010100501,GOVT. BAWNGVA P/S,BAWNGVA,"SDEO, MAMIT",Department of Education,Primary,Rural,23.912714,92.426817
2015-16,Mizoram                       ,1501,MAMIT,150101005,BAWNGVA,15010100502,BAWNGVA UPS (SSA),BAWNGVA,"SDEO, MAMIT",SSA                                                                        ,Upper Primary only,Rural,23.9136,92.426298
2015-16,Mizoram                       ,1501,MAMIT,150101006,DARLAK,15010100601,GOVT. DARLAK P/S,DARLAK,"SDEO, MAMIT",Department of Education,Primary,Rural,23.902283,92.414439
2015-16,Mizoram                       ,1501,MAMIT,150101006,DARLAK,15010100602,GOVT. DARLAK M/S,DARLAK,"SDEO, MAMIT",Department of Education,Upper Primary only,Rural,23.903417,92.419655
2015-16,Mizoram                       ,1501,MAMIT,150101006,DARLAK,15010100603,DARLAK LEILET P/S (SSA),DARLAK,"SDEO, MAMIT",SSA                                                                        ,Primary,Rural,23.902113,92.418431
2015-16,Mizoram                       ,1501,MAMIT,150101006,DARLAK,15010100604,"EMMANUEL ENGLISH SCHOOL, DARLAK (Pvt.)",DARLAK,"SDEO, MAMIT",Pvt. Unaided,Primary with Upper Primary,Rural,23.901311,92.418176
2015-16,Mizoram                       ,1501,MAMIT,150101006,DARLAK,15010100606,DARLAK RMSA SECONDARY SCHOOL,DARLAK,"DEO, MAMIT",RMSA                                                                       ,Secondary Only,Rural,23.899485,92.419341
2015-16,Mizoram                       ,1501,MAMIT,150101007,NEW MAMIT,15010100702,GOVT. MAMIT P/S-IV,NEW MAMIT,"SDEO, MAMIT",Department of Education,Primary,Urban,23.894601,92.497575
2015-16,Mizoram                       ,1501,MAMIT,150101007,NEW MAMIT,15010100703,GOVT. MAMIT P/S-VI,NEW MAMIT,"SDEO, MAMIT",Department of Education,Primary,Urban,23.906571,92.492609
2015-16,Mizoram                       ,1501,MAMIT,150101007,NEW MAMIT,15010100707,GOVT. AGAPE M/S-IV,NEW EDEN,"SDEO, MAMIT",Department of Education,Upper Primary only,Urban,23.899157,92.49651
2015-16,Mizoram                       ,1501,MAMIT,150101007,NEW MAMIT,15010100708,NALZAWL P/S (SSA),NEW MAMIT,"SDEO, MAMIT",SSA                                                                        ,Primary,Rural,23.867054,92.424774
2015-16,Mizoram                       ,1501,MAMIT,150101007,NEW MAMIT,15010100709,NALZAWL UPS (SSA),NEW MAMIT,"SDEO, MAMIT",SSA                                                                        ,Upper Primary only,Rural,23.868321,92.425639
2015-16,Mizoram                       ,1501,MAMIT,150101007,NEW MAMIT,15010100710,NEW MAMIT UPS (SSA),NEW MAMIT,"SDEO, MAMIT",SSA                                                                        ,Upper Primary only,Urban,23.878988,92.499118
2015-16,Mizoram                       ,1501,MAMIT,150101007,NEW MAMIT,15010100712,NEW MAMIT RMSA SECONDARY SCHOOL,NEW MAMIT,"DEO, MAMIT",RMSA                                                                       ,Secondary Only,Urban,23.885131,92.497828
2015-16,Mizoram                       ,1501,MAMIT,150101007,NEW MAMIT,15010100713,ST. FRANCIS OF ASSISI HIGH SCHOOL,NEW MAMIT,"DEO, MAMIT",Pvt. Unaided,Secondary Only,Urban,23.911657,92.490667
2015-16,Mizoram                       ,1501,MAMIT,150101007,NEW MAMIT,15010100714,NEW DIAMOND SCHOOL (Pvt.),NEW MAMIT,"SDEO, MAMIT",Pvt. Unaided,Primary,Urban,23.912149,92.494042
2015-16,Mizoram                       ,1501,MAMIT,150101007,NEW MAMIT,15010100715,ST FRANCIS OF ASSISSI M/S MAMIT,NEW MAMIT,"SDEO, MAMIT",Church                                                                     ,Upper Primary only,Urban,23.911645,92.490745
2015-16,Mizoram                       ,1501,MAMIT,150101007,NEW MAMIT,15010100716,NEW DIAMOND SCHOOL M/S (Pvt.),NEW MAMIT,"SDEO, MAMIT",Pvt. Unaided,Upper Primary only,Urban,23.912149,92.494042
2015-16,Mizoram                       ,1501,MAMIT,150101007,NEW MAMIT,15010100718,NEW MAMIT P/S (SSA),NEW MAMIT,"SDEO, MAMIT",SSA                                                                        ,Primary,Urban,23.878988,92.499118
2015-16,Mizoram                       ,1501,MAMIT,150101008,PHAIZAU,15010100801,GOVT. PHAIZAU  P/S,PHAIZAU,"SDEO, MAMIT",Department of Education,Primary,Rural,23.925973,92.522554
2015-16,Mizoram                       ,1501,MAMIT,150101008,PHAIZAU,15010100802,PHAIZAU UPS (SSA),PHAIZAU,"SDEO, MAMIT",SSA                                                                        ,Upper Primary only,Rural,23.925931,92.522907
2015-16,Mizoram                       ,1501,MAMIT,150101009,K. SARALI,15010100901,K. SARALI P/S (SSA),K.SARALI,"SDEO, KAWRTHAH",SSA                                                                        ,Primary,Rural,23.986326,92.423049
2015-16,Mizoram                       ,1501,MAMIT,150101009,K. SARALI,15010100902,K. SARALI UPS (SSA),K.SARALI,"SDEO, KAWRTHAH",SSA                                                                        ,Upper Primary only,Rural,23.986326,92.423049
2015-16,Mizoram                       ,1501,MAMIT,150101010,KAWRTHAH,15010101001,GOVT. KAWRTHAH P/S-I,KAWRTHAH,"SDEO, KAWRTHAH",Department of Education,Primary,Rural,23.997074,92.374129
2015-16,Mizoram                       ,1501,MAMIT,150101010,KAWRTHAH,15010101003,GOVT. KAWRTHAH P/S-III,KAWRTHAH,"SDEO, KAWRTHAH",Department of Education,Primary,Rural,24.005493,92.375966
2015-16,Mizoram                       ,1501,MAMIT,150101010,KAWRTHAH,15010101004,GOVT. KAWRTHAH P/S-IV,KAWRTHAH,"SDEO, KAWRTHAH",Department of Education,Primary,Rural,23.991945,92.37378
2015-16,Mizoram                       ,1501,MAMIT,150101010,KAWRTHAH,15010101005,GOVT. KAWRTHAH M/S-I,KAWRTHAH,"SDEO, KAWRTHAH",Department of Education,Upper Primary only,Rural,24.004347,92.376473
2015-16,Mizoram                       ,1501,MAMIT,150101010,KAWRTHAH,15010101006,GOVT. KAWRTHAH M/S-II,KAWRTHAH,"SDEO, KAWRTHAH",Department of Education,Upper Primary only,Rural,23.991743,92.373668
2015-16,Mizoram                       ,1501,MAMIT,150101010,KAWRTHAH,15010101007,"HALIDAY ENGLISH MEDIUM SCHOOL P/S, KAWRTHAH (Pvt.)",KAWRTHAH,"SDEO, KAWRTHAH",Pvt. Unaided,Primary,Rural,24.000861,92.374919
2015-16,Mizoram                       ,1501,MAMIT,150101010,KAWRTHAH,15010101009,GOVT. KAWRTHAH HIGHER SECONDARY SCHOOL,KAWRTHAH,"DEO, MAMIT",Department of Education,Higher Secondary only/Jr. College,Rural,23.990889,92.37313
2015-16,Mizoram                       ,1501,MAMIT,150101010,KAWRTHAH,15010101010,GOVT. KAWRTHAH HIGH SCHOOL,KAWRTHAH,"DEO, MAMIT",Department of Education,Secondary Only,Rural,23.991518,92.37358
2015-16,Mizoram                       ,1501,MAMIT,150101010,KAWRTHAH,15010101011,KAWRTHAH HIGH SCHOOL II,KAWRTHAH,"DEO, MAMIT",ADHOC AIDED                                                                ,Secondary Only,Rural,24.004988,92.376158
2015-16,Mizoram                       ,1501,MAMIT,150101010,KAWRTHAH,15010101012,"ST.IGNATIUS ENGLISH PRIMARY SCHOOL, KAWRTHAH (Pvt.)",KAWRTHAH,"SDEO, KAWRTHAH",Church                                                                     ,Primary,Rural,24.0061,92.375843
2015-16,Mizoram                       ,1501,MAMIT,150101010,KAWRTHAH,15010101013,PRESBYTERIAN ENGLISH SCHOOL KAWRTHAH,KAWRTHAH,"SDEO, KAWRTHAH",Church                                                                     ,Primary,Rural,23.997935,92.375372
