district_name,vilname,schcd,schname,schmgt_desc,schmgt,schcat,rururb,schcat_desc,rururb,schtype,pincd,disthq,distcrc,estdyear,lowclass,highclass,ppsec_yn,ppstudent,ppteacher,workdays,schres_yn,resitype,schshi_yn,noinspect,visitscrc,visitsbrc,conti_r,conti_e,tlm_r,tlm_e,funds_e,funds_r,osrc_e,osrc_r,tchsan,tchpos,parapos,ntpos,medinstr1,medinstr2,medinstr3,medinstr4,supvar1,supvar2,supvar3,supvar4,supvar5,schmntcgrant_r,schmntcgrant_e,tle_r,tle_e,postaladdr,stdcode1,phone1,mobile1,stdcode2,phone2,mobile2,email,website,parasanct_ele,tchsanct_sec,tchposn_sec,parasanct_sec,paraposn_sec,tchsanct_hsec,tchposn_hsec,parasanct_hsec,paraposn_hsec,tchregu_upr,tchpara_upr,tchpart_upr,tchsanct_pr,parasanct_pr,ntsanct_sec,ntposn_sec,ntsanct_hsec,ntposn_hsec,anganwadi_yn,anganwadi_stu,anganwadi_tch,latdeg,latmin,latsec,londeg,lonmin,lonsec,approachbyroad,yearrecog,yearupgrd,cwsnsch_yn,visitsrtcwsn,distp,distu,dists,disth,meds1,meds2,meds3,meds4,medh1,medh2,medh3,medh4,boardsec,boardhsec,yearrecogs,yearrecogh,yearupgrds,yearupgrdh,schresupr_yn,schressec_yn,schreshsec_yn,cpp_b,cpp_g,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g,tch_m,tch_f,tch_t,tchpri,tchupr,tchsec,tchhsec,tchnr_clstaught,tchcwsntrnd,tchdisable,tchregu,tchcont,tchpart
MAMIT,MAMIT BAZAR VENG,15010100101, GOVT. MAMIT P/S-VII,Department of Education,1,1,2,Primary,Urban,3,796441,0,0,1998,1,4,2,0,0,0,2,5,2,3,5,1,5000,5000,0,0,0,0,0,0,0,2,2,0,25,98,98,98,,,,,,7500,7500,0,0,,,,8794776670,,,9863393455,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,92,35,92,49,22,1,1998,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,0,0,0,0,11,15,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,0,0,4,2,2,0
MAMIT,MAMIT BAZAR VENG,15010100102,ST FRANCIS OF ASSISI P/S MAMIT,Church                                                                     ,12,1,2,Primary,Urban,3,796441,0,0,1998,1,5,1,211,4,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,19,98,98,98,,,,,,0,0,0,0,,,,8974165537,,,9436351367,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,1,2000,,2,0,0,0,1,0,,,,,,,,,0,0,,,,,0,0,0,112,99,58,56,46,39,47,51,33,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,15,15,0,0,0,0,0,15,0,15,0
MAMIT,MAMIT VENGHLUN,15010100201,GOVT. MAMIT P/S-I,Department of Education,1,1,2,Primary,Urban,3,79644,0,0,1956,1,4,2,0,0,0,2,5,2,3,9,1,5000,5000,0,0,0,0,0,0,0,3,2,0,25,98,98,98,,,,,,7500,7500,0,0,,,,8731966295,,,8794825723,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,92,78,92,49,4,1,1960,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,0,0,0,0,7,6,2,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,0,0,0,0,0,5,3,2,0
MAMIT,MAMIT VENGHLUN,15010100203,GOVT. MAMIT M/S-I,Department of Education,1,4,2,Upper Primary only,Urban,3,796441,0,0,1948,5,8,2,0,0,0,2,5,2,1,7,1,7000,7000,0,0,0,0,0,0,0,0,0,0,25,98,98,98,,,,,,7500,7500,0,0,,,,9612466951,,,9612392282,,,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,2,0,0,23,92,77,92,48,99,1,1948,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,2,1,3,5,10,0,0,0,0,0,0,0,0,5,3,8,0,8,0,0,0,0,8,3,3,2
MAMIT,MAMIT VENGHLUN,15010100204,"PRESBYTERIAN ENGLISH MEDIUM SCHOOL, MAMIT VENGHLUN",Church                                                                     ,12,2,2,Primary with Upper Primary,Urban,3,796441,0,0,2005,1,8,1,93,2,0,2,5,2,3,2,1,0,0,0,0,0,0,0,0,0,0,6,0,19,98,98,98,,,,,,0,0,0,0,,,,9862423218,,,,,,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,23,92,95,92,48,92,1,2005,2005,2,0,0,0,0,0,,,,,,,,,5,5,,,,,2,0,0,51,42,24,30,24,35,11,31,22,15,19,15,20,15,16,14,18,14,0,0,0,0,0,0,0,0,7,6,13,6,7,0,0,0,0,13,0,13,0
MAMIT,MAMIT VENGHLUN,15010100206,PRESBYTERIAN ENGLISH MEDIUM SCHOOL,Church                                                                     ,12,8,2,Secondary Only,Urban,3,796441,0,0,2005,9,10,9,0,0,0,9,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,98,98,98,,,,,,0,0,0,0,,,,9862423218,,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,,,,,,1,,,2,0,0,0,0,0,,,,,,,,,2,0,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,14,11,0,0,0,0,2,4,6,0,0,6,0,0,0,6,0,6,0
MAMIT,N.SABUAL,15010100301,N. SABUAL UPS (SSA),SSA                                                                        ,10,4,1,Upper Primary only,Rural,3,796441,10,10,2005,5,8,2,0,0,0,2,5,2,1,8,2,7000,7000,0,0,0,0,0,0,0,0,0,0,25,98,98,98,,,,,,7500,7500,0,0,,,,9863850273,,,9862510916,,,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,23,98,65,92,2,48,1,2005,0,2,0,0,0,10,0,,,,,,,,,5,5,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,2,3,2,5,2,0,0,0,0,0,0,0,0,3,3,6,0,6,0,0,0,0,6,0,4,2
MAMIT,N.SABUAL,15010100304,GOVT. N. SABUAL P/S,Department of Education,1,1,1,Primary,Rural,3,796441,10,10,1986,1,4,2,0,0,0,2,5,2,1,8,1,5000,5000,0,0,0,0,0,0,0,2,1,0,25,98,98,98,,,,,,7500,7500,0,0,,,,9874411833,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,98,66,92,48,89,1,1990,0,2,0,0,0,10,0,,,,,,,,,5,5,,,,,9,0,0,0,0,5,9,2,3,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,0,0,3,2,1,0
MAMIT,SUARHLIAP,15010100403,GOVT. SUARHLIAP M/S,Department of Education,1,4,1,Upper Primary only,Rural,3,796081,30,30,1986,5,8,2,0,0,0,2,5,2,1,6,1,7000,7000,0,0,0,0,0,0,0,0,0,0,25,98,98,98,,,,,,7500,7500,0,0,,,,9862076108,,,9862647123,,,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,2,0,0,24,13,50,92,51,59,1,1990,0,2,0,0,0,1,0,,,,,,,,,5,5,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,12,9,9,7,9,12,10,3,0,0,0,0,0,0,0,0,3,3,6,0,6,0,0,0,0,6,1,3,2
MAMIT,SUARHLIAP,15010100404,GOVT. SUARHLIAP P/S,Department of Education,1,1,1,Primary,Rural,3,796081,32,32,1935,1,4,2,0,0,0,2,5,2,1,6,1,5000,5000,0,0,0,0,0,0,0,2,2,0,25,98,98,98,,,,,,7500,7500,0,0,,,,8014603757,,,9612447707,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24,13,46,92,51,61,1,1950,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,0,0,0,0,16,11,7,6,6,6,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,4,0,0,0,0,0,4,2,2,0
